,SSOId,Visitors,Visits/Visitors,Visits,VisitorsApp,VisitorsWeb,VisitorsAmp,StartDay
0,5E39071ECCB29ACBF3791C1FBAD4E7DD69501DE3E2E768A5E939FDD7D5A2A883,1.0,3.0,3.0,1.0,0.0,0.0,20200310
1,CE9FACF86FE66E3C6CAB8A767A907BBFC25B5AAFF13188141110A71C08A8E93F,1.0,3.0,3.0,1.0,0.0,0.0,20200310
2,A6C8EC7CA609F9EC43EA83706DFCC9D2EC22277E4EB5B3A2F417E033DF22F0E1,1.0,3.0,3.0,1.0,0.0,0.0,20200310
3,831267B73B5EFFB5B2C6F2180C615A2622AC88C42A3ECB11BE486D121AA4D7A0,1.0,3.0,3.0,1.0,0.0,0.0,20200310
4,8EF71B7912AC6EFD7581791DFE41FD1957C7150E40E3F0EC8ADD6BF05016CA7B,1.0,3.0,3.0,1.0,0.0,0.0,20200310
5,E7F0FE6E754827147D437F12F0274DCEC23E9018677D7E87EE23A77E94EA9868,1.0,3.0,3.0,1.0,0.0,0.0,20200310
6,A5B68BC35A52E2329F58F5B02CC0BCB1CCBACF825828C070B72DC854DEF9179E,1.0,3.0,3.0,1.0,0.0,0.0,20200310
7,833348A02E112C9FBC6054724AD271D869820F066C4F0D2960BE2DDAA5F7D252,1.0,3.0,3.0,1.0,0.0,0.0,20200310
8,A01965E6B510049F021A6173B42CDFCEF388B460A47FC6C85B5EEC9F4CB8C203,1.0,3.0,3.0,1.0,0.0,0.0,20200310
9,D78FA3774E0D1FDB155E4A97B871C42313EB027BD9051841D959DFC4D79DE7E5,1.0,3.0,3.0,1.0,0.0,0.0,20200310
10,87749B9FA868DDB78C2C768A9FCD9AEB8BC27933F882A7E990F42DEBB87985BA,1.0,3.0,3.0,1.0,0.0,0.0,20200310
11,E60CFF7C4AA0AAEC92AB478B468D2FEB0BD068A1DA87A9261F39A1B9BA6B8418,1.0,3.0,3.0,1.0,0.0,0.0,20200310
12,3804B2A8812F428D69C11266EAF1AA62A4F2AD1D0E4B82C7C2E6A577D8910BCE,1.0,3.0,3.0,1.0,0.0,0.0,20200310
13,39854030ACA71F72477A8197D3E65EF2CBE35BA94C1DDD04B5ADCF9884B2285C,1.0,3.0,3.0,1.0,0.0,0.0,20200310
14,16B0856E5BFB8868AB82942B8CE088CF8CCDE0F235D83A31216F5842C9D73C9B,1.0,3.0,3.0,1.0,0.0,0.0,20200310
15,38B506E041C534D8F238186B34150B9C4F4586D307EC848EF773DE467F374F4E,1.0,3.0,3.0,1.0,0.0,0.0,20200310
16,BD13767365ED0CC208922284B2AB2035679355727ACC99CE2AED24C658635F58,1.0,3.0,3.0,1.0,0.0,0.0,20200310
