,SSOId,Visitors,Visits/Visitors,Visits,VisitorsApp,VisitorsWeb,VisitorsAmp,StartDay
0,Unspecified,49636.0,1.2450237730679345,61798.0,24939.0,29673.0,114.0,20200108
1,02CDB7572E926ECF2A4609E2AF80946131DF6406E62D665F69E3442694CBC3D7,28.0,2.2142857142857144,62.0,17.0,11.0,1.0,20200108
2,1000D372590894C6FA318326A5DDEC7282335F2A366661CEBA6E15343CC9EAB5,18.0,1.7777777777777777,32.0,3.0,15.0,0.0,20200108
3,F1BE110CBDD4B8DC00547528CECDB8510EC2CFE8ECAB81F973BA1723F1E0438C,18.0,1.1111111111111112,20.0,0.0,18.0,0.0,20200108
4,8C0E879435D741C422172E9312BFEB0BD38D48E3109EA46DD684D33207A8A4CC,12.0,2.1666666666666665,26.0,4.0,8.0,0.0,20200108
5,80D70FDE90EABA9566FCA22E1420D66F24E934FAD8A2A944A767773A818DDEA2,11.0,4.545454545454546,50.0,6.0,5.0,1.0,20200108
6,06A2487D22B3CA70154C6197A38E2EBD057E732320969C85052489C96824196B,11.0,2.0,22.0,5.0,6.0,0.0,20200108
7,31141ED3440B4DF06D22A1823574D2154CC9837AB371C13E3456DBD9DC7CCADF,11.0,1.0909090909090908,12.0,0.0,11.0,0.0,20200108
8,7DF3DC006368E11E508135313B35084441596D1B4EE6E46E2053AC1BF21DEC1E,9.0,2.111111111111111,19.0,5.0,4.0,0.0,20200108
9,EDCB8CB6C722C8EB39FCA4A2D23A03A0A48DBE3EE17E78F2A784804A04595BC8,9.0,1.3333333333333333,12.0,1.0,8.0,0.0,20200108
10,06466CB38E873051B7D82BE8FF0898B3A45F2E537CF442E134D394A0D56EBD17,8.0,2.25,18.0,3.0,5.0,0.0,20200108
11,4E77F70C6B1EA8D18F04804CD11E4A60EEC593D9C0A017BE60FD47EF2CA17788,8.0,1.5,12.0,4.0,4.0,0.0,20200108
12,E1287B7CA65C61FB555A45E81BFE140AD0E173743CA638EACC6F1F8DAEADE859,8.0,1.5,12.0,2.0,6.0,0.0,20200108
13,A01A2F8A6E0E3AB67174483AB1941B4BF2C42DF6732E2BE8A81B4176826173D0,7.0,2.2857142857142856,16.0,4.0,3.0,0.0,20200108
